Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2018,W,MATH,105,,207,Integral Calculus with Applications to Commerce and Social Sciences,Kateryna Melnykova;Keqin Liu;Tongou Yang;Yitong Sun,72,59.597222222,17.984860395,92.0,0.0,18,10,9,7,4,3,7,3,5,4,2,,,
UBCV,2018,W,MATH,180,,101,Differential Calculus with Physical Applications,Adela Gherga;Aditi Sriram;Alejandra Herrera Reyes;Alma Sarai Hernandez Torres;Arshdeep Sandhu;Daniel Mcclement;Daniel Sheinbaum Frank;Danil Platonov;Dingfei Lu;Dominic Shillingford;Edward Alexander Belk;Fok-Shuen Leung;Guillermo Martinez Dibene;Huili Han;Katharine Faulkner;Liheng Chen;Tongou Yang;Xuechun Lu;Yue Liu;Zi Yuan Julian Ding;Ziyao Zhou,299,59.551839465,16.117016154,94.0,4.0,56,38,41,31,27,37,26,14,17,10,2,,,
UBCV,2018,W,MATH,180,,102,Differential Calculus with Physical Applications,Adela Gherga;Aditi Sriram;Alejandra Herrera Reyes;Alma Sarai Hernandez Torres;Arshdeep Sandhu;Daniel Mcclement;Daniel Sheinbaum Frank;Danil Platonov;Dingfei Lu;Dominic Shillingford;Edward Alexander Belk;Fok-Shuen Leung;Guillermo Martinez Dibene;Huili Han;Katharine Faulkner;Liheng Chen;Tongou Yang;Xuechun Lu;Yue Liu;Zi Yuan Julian Ding;Ziyao Zhou,73,66.890410959,16.943174342,94.0,0.0,8,5,6,4,5,15,8,6,6,6,4,,,
UBCV,2019,W,MATH,200,,101,Calculus III,Albert Chau;Itay Londner;Jacob Denson;Tongou Yang,102,72.235294118,12.767669931,95.0,30.0,1,8,10,10,8,8,9,11,18,12,7,,,
UBCV,2019,W,MATH,200,,201,Calculus III,Boaz Elazar;Javier Gonzalez Anaya;Julia Yulia Gordon;Mukul Rai Choudhuri;Reginald Mcgregor Simpson;Reginald Simpson;Samer Dweik;Tongou Yang,58,78.775862069,14.891470658,100.0,0.0,1,0,2,3,3,4,7,8,9,7,14,,,
UBCV,2019,W,MATH,200,,202,Calculus III,Brian Freidin;Itay Londner;Javier Gonzalez Anaya;Julia Yulia Gordon;Mukul Rai Choudhuri;Reginald Mcgregor Simpson;Reginald Simpson;Tongou Yang,112,73.6875,10.616179434,99.0,50.0,0,3,8,11,12,14,15,10,21,11,7,,,
UBCV,2019,W,MATH,200,,203,Calculus III,Javier Gonzalez Anaya;Julia Yulia Gordon;Mukul Rai Choudhuri;Reginald Mcgregor Simpson;Reginald Simpson;Tongou Yang,93,73.989247312,13.080432302,96.0,0.0,1,2,6,12,4,4,16,8,23,10,7,,,
UBCV,2019,W,MATH,200,,204,Calculus III,Antonio Alfieri;Javier Gonzalez Anaya;Julia Yulia Gordon;Mukul Rai Choudhuri;Reginald Mcgregor Simpson;Reginald Simpson;Tongou Yang,32,76.0,11.916375288,98.0,51.0,0,1,2,0,3,6,6,2,5,2,5,,,
UBCV,2019,W,MATH,541,,101,Harmonic Analysis I,Izabella Laba;Joshua Zahl;Tongou Yang,14,88.785714286,4.901782587,96.0,78.0,0,0,0,0,0,0,0,1,1,5,7,,,
UBCV,2020,W,MATH,100,,101,Differential Calculus with Applications to Physical Sciences and Engineering,Alexander Naumenko;Amin Soofiani;Benjamin Langer;Daniel Di Benedetto;Dragos Ghioca;Farid Aliniaeifard;Isabella Martin;Itay Londner;Julien Gagnon;K Wayne Nagata;Mai Uyen Thieu;Malcolm Norman Stanley Bowles;Marjan Zare Bezgabadi;Max Gheorghiu;Michael Bennett;Pradumn Choudhary;Simone Maletto;Sven Bachmann;Tongou Yang;Yongqi Nie,1555,65.478456592,16.115055039,100.0,0.0,181,152,157,121,162,168,186,124,165,75,64,,,
