Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2017,W,PHYS,157,,103,Introductory Physics for Engineers I,Donald Witt;Fei Zhou;Yau Chuen Yam,250,74.116,14.286460577,98.0,18.0,18,6,11,6,12,27,32,38,45,34,21
UBCV,2017,W,PHYS,200,,101,Relativity and Quanta,Douglas Scott;Etienne Lantagne-Hurtubise;Hanwen Liu;Qingdi Wang;Xiruo Yan;Yau Chuen Yam,159,69.371069182,14.065647829,95.0,3.0,9,11,11,17,18,20,18,12,25,12,6
UBCV,2017,W,PHYS,216,,201,Intermediate Mechanics,Aaron Boley;Laurent Chaurette;Ruoxi Wang;Ryley Hill;Yau Chuen Yam;Zhen Zhu,99,72.616161616,13.693218246,93.0,19.0,6,5,6,2,6,13,17,11,15,8,10
UBCV,2017,W,PHYS,304,,201,Introduction to Quantum Mechanics,Andrew Elias;Ariel Zhitnitsky;Felix Cormier;Ryan Day;Yau Chuen Yam,57,74.473684211,19.501012119,99.0,23.0,7,1,2,2,3,5,5,2,6,8,16
UBCV,2018,W,PHYS,304,,201,Introduction to Quantum Mechanics,Ariel Zhitnitsky;Leo Sporn;Ryan Day;Yau Chuen Yam,48,76.5,23.93964041,100.0,0.0,5,0,1,1,3,4,3,1,8,5,17
UBCV,2018,W,PHYS,312,,101,Introduction to Mathematical Physics,Mona Berciu;Yau Chuen Yam,43,72.395348837,15.211429811,96.0,37.0,3,4,3,0,3,2,0,8,13,3,4
UBCV,2019,S,PHYS,101,,921,Energy and Waves,Abhilash Javaji;Arthur Charbonneau;Hisham Al Hashmi;Jeff Bale;Jessica Chapman;Mohammad Mirsharifi;Sabnamdeep Kular;Shadab Ahamed Shadab Ahamed;Shiqin Su;Yau Chuen Yam,179,78.12849162,12.194133028,100.0,0.0,5,0,1,7,8,15,29,25,37,28,24
UBCV,2019,W,PHYS,200,,101,Relativity and Quanta,Douglas Scott;Edward Thoeng;Paul Natan Jean-Fracois Ripoche;Paul Ripoche;Philippe Belanger;Xiruo Yan;Yau Chuen Yam,122,75.180327869,12.170969656,96.0,30.0,2,5,5,8,11,8,13,20,25,13,12
UBCV,2019,W,PHYS,304,,201,Introduction to Quantum Mechanics,Ariel Zhitnitsky;Leo Sporn;Shuailiang Ge;Yau Chuen Yam,98,84.357142857,13.260475338,99.0,27.0,1,3,1,4,3,1,8,6,7,19,45
UBCV,2019,W,PHYS,312,,101,Introduction to Mathematical Physics,Joanna Karczmarek;Mona Berciu;Yau Chuen Yam,39,71.282051282,16.685872874,95.0,1.0,2,0,5,4,3,4,4,0,10,5,2
UBCV,2020,S,PHYS,101,,921,Energy and Waves,Adan Azem;Aria Malhotra;Arthur Charbonneau;Edward Thoeng;Fengqiu Dong;Helena Marie Koniar;Lara Maria Bartels;Maryam Afsari Golshan;Samikshya Sahu;Yau Chuen Yam,202,79.722772277,13.717199729,98.0,30.0,12,5,4,3,3,9,10,23,48,39,46
UBCV,2020,W,PHYS,304,,101,Introduction to Quantum Mechanics,Arnab Adhikary;Caleb Sample;David Roberts;Jack James Pitcher;Jeff Young;Yau Chuen Yam,68,78.588235294,13.63406105,98.0,35.0,1,2,4,4,3,5,5,9,9,10,16
UBCV,2020,W,PHYS,304,,201,Introduction to Quantum Mechanics,Ariel Zhitnitsky;Arnab Adhikary;Xunyu Liang;Yau Chuen Yam,83,82.156626506,15.19505851,98.0,28.0,3,3,2,3,1,4,2,3,11,17,34
UBCV,2021,S,ENPH,270,,941,Mechanics II,Matteo Ferraresso;Michael Hasinoff;Yau Chuen Yam,61,86.360655738,8.270495324,99.0,56.0,0,0,1,0,1,2,1,2,14,17,23
UBCV,2021,W,PHYS,200,,101,Relativity and Quanta,Alison Lister;Douglas Scott;Hyungki Shin;Karim Elkholy;Megan Rutherford;Ryan Quinn;Simon Godin;Yau Chuen Yam,147,69.537414966,17.972685557,95.0,8.0,13,14,4,7,15,14,13,24,15,16,12
UBCV,2021,W,PHYS,350,,201,Applications of Classical Mechanics,Arnab Adhikary;Mona Berciu;Yau Chuen Yam,64,85.015625,13.794975146,100.0,20.0,1,0,1,1,3,2,3,5,9,13,26
UBCV,2021,W,PHYS,500,,101,Quantum Mechanics I,Ariel Zhitnitsky;Yau Chuen Yam,35,84.828571429,12.570941549,99.0,35.0,1,0,0,0,1,3,2,0,5,7,16
