Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2017,W,PHYS,159,,L2A,INTRO PHYS LAB,"Ye, Ziliang",51,80.41,9.97,95,40,50,1,0,0,0,0,0,0,0,1,1,0,1,0,1,3,7,9,11,8,10,,,
UBC,2017,W,PHYS,159,,L2J,INTRO PHYS LAB,"Ye, Ziliang",48,78.79,8.13,95,61,48,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,9,10,8,6,7,,,
UBC,2017,W,PHYS,159,,L2U,INTRO PHYS LAB,"Ye, Ziliang",51,80.16,7.73,95,51,50,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,6,10,17,10,3,,,
UBCV,2017,W,PHYS,159,,L2A,Introductory Physics Laboratory for Engineers,Barry Bohnet;Donald Witt;Giacomo Gallina;Michael Hasinoff;Thomas Mattison;Ziliang Ye,51,80.411764706,9.972314617,95.0,40.0,,,,,,,,,,,1,0,1,0,1,3,7,9,11,8,10,,,
UBCV,2017,W,PHYS,159,,L2J,Introductory Physics Laboratory for Engineers,Leonard Paul Ruocco;Thomas Mattison;Zhuang Qi Qi Li;Ziliang Ye,48,78.791666667,8.126547861,95.0,61.0,,,,,,,,,,,0,0,0,1,2,5,9,10,8,6,7,,,
UBCV,2017,W,PHYS,159,,L2U,Introductory Physics Laboratory for Engineers,Thien Hoang Tran;Thomas Mattison;Walter Wasserman;Ziliang Ye,50,80.16,7.733732103,95.0,51.0,,,,,,,,,,,0,1,0,0,2,1,6,10,17,10,3,,,
UBCV,2019,W,PHYS,117,,101,Dynamics and Waves,Mobin Shakeri;Simon Bates;Su Yu Ding;Ziliang Ye,301,73.548172757,15.110101643,99.0,13.0,,,,,,,,,,,25,7,13,20,28,31,25,32,41,35,44,,,
UBCV,2019,W,PHYS,159,,L2K,Introductory Physics Laboratory for Engineers,Ryan Harvey;Sarah Burke;Sydney Seraphim;Ziliang Ye,50,78.54,11.904740952,93.0,23.0,,,,,,,,,,,1,0,0,2,3,3,8,8,8,9,8,,,
UBCV,2019,W,PHYS,159,,LE2,Introductory Physics Laboratory for Engineers,Alexander Sheyerman;Matan Guttmann;Sarah Burke;Ziliang Ye,54,75.425925926,8.766578584,91.0,53.0,,,,,,,,,,,0,1,2,4,2,7,11,5,16,4,2,,,
UBCV,2019,W,PHYS,159,,LJ2,Introductory Physics Laboratory for Engineers,Austin Khorram;Joseph Gaffney;Sarah Burke;Ziliang Ye,52,86.403846154,5.774384325,95.0,70.0,,,,,,,,,,,0,0,0,0,0,1,1,4,10,22,14,,,
UBCV,2020,W,PHYS,117,,101,Dynamics and Waves,Fengqiu Dong;Kenneth Xing;Michael Salloum;Miho Wakai;Mobin Shakeri;Oguzhan Can;Simon Bates;Su Yu Ding;Tobias Faehndrich;Vedangi Pathak;Zhuang Qi Qi Li;Ziliang Ye,340,76.332352941,14.770160875,100.0,0.0,,,,,,,,,,,19,8,11,20,15,29,34,35,54,58,57,,,
UBCV,2020,W,PHYS,159,,L2G,Introductory Physics Laboratory for Engineers,Aaron Kraft;Ashley Warner;Joseph Gaffney;Leonardo Arreaza;Sarah Burke;Shadab Ahamed Shadab Ahamed;Zi Yuan Julian Ding;Ziliang Ye,54,89.962962963,8.816714322,100.0,44.0,,,,,,,,,,,1,0,0,0,0,0,2,1,5,10,35,,,
UBCV,2020,W,PHYS,159,,L2J,Introductory Physics Laboratory for Engineers,Aaron Kraft;Ashley Warner;Jeremy Wong;Samia Sama;Sarah Burke;Shadab Ahamed Shadab Ahamed;Sydney Dufresne;Ziliang Ye,53,83.679245283,21.376455043,99.0,0.0,,,,,,,,,,,4,0,1,0,0,2,2,0,2,15,27,,,
UBCV,2020,W,PHYS,159,,L2K,Introductory Physics Laboratory for Engineers,Ashley Warner;Keenan Mcconkey;Samuel Brown;Sarah Burke;Shadab Ahamed Shadab Ahamed;Vladislav Pomogaev;Ziliang Ye,58,92.344827586,6.359277583,100.0,73.0,,,,,,,,,,,0,0,0,0,0,0,2,1,2,12,41,,,
UBCV,2020,W,PHYS,159,,LU2,Introductory Physics Laboratory for Engineers,Alexander Ensworth;Ashley Warner;Daniel Ka Sing Wong;Eamon Cole;Sarah Burke;Shadab Ahamed Shadab Ahamed;Ziliang Ye,49,81.204081633,17.142757936,100.0,0.0,,,,,,,,,,,1,3,1,2,0,1,4,4,5,13,15,,,
UBCV,2021,W,PHYS,117,,101,Dynamics and Waves,Colm Sam;Dinel Anthony;Hawk Zhang;Maryam Rostamzadeh;Ryan Jackim;Su Yu Ding;Tomasz Andrzejewski;Ziliang Ye,269,69.137546468,16.633215149,98.0,1.0,,,,,,,,,,,26,17,14,25,22,30,31,26,31,25,22,,,
UBCV,2021,W,PHYS,117,,102,Dynamics and Waves,Colm Sam;Dinel Anthony;Hawk Zhang;Maryam Rostamzadeh;Ryan Jackim;Su Yu Ding;Tomasz Andrzejewski;Ziliang Ye,61,62.032786885,17.225917695,95.0,9.0,,,,,,,,,,,11,8,8,7,2,4,5,7,3,5,1,,,
UBCV,2021,W,PHYS,159,,L2A,Introductory Physics Laboratory for Engineers,Alexandra Davies;Ashley Warner;James Wu;Kausik Krishnakumar;Lesley Hill;Sarah Burke;Ziliang Ye,42,84.880952381,6.829642639,95.0,67.0,,,,,,,,,,,0,0,0,0,1,0,4,6,4,14,13,,,
UBCV,2021,W,PHYS,159,,L2K,Introductory Physics Laboratory for Engineers,Ashley Warner;Jake Sutherland;James Wu;Lesley Hill;Maxwell Botsis;Sarah Burke;Ziliang Ye,41,77.170731707,14.72735964,94.0,33.0,,,,,,,,,,,3,0,0,2,1,2,6,5,7,10,5,,,
UBCV,2021,W,PHYS,159,,LT2,Introductory Physics Laboratory for Engineers,Ashley Warner;James Wu;Karim Elkholy;Lesley Hill;Sarah Burke;Wesley Cassidy;Ziliang Ye,44,82.681818182,14.285742978,96.0,0.0,,,,,,,,,,,1,0,0,0,0,1,3,6,10,11,12,,,
UBCV,2021,W,PHYS,117,,101,Dynamics and Waves,Ziliang Ye,271,69.4,,98.0,1.0,,,,,,,,,,,,,14,,22,,,,,25,22,72.0,80.0,61.0
UBCV,2021,W,PHYS,159,,L2A,Introductory Physics Laboratory for Engineers,Sarah Burke;Ziliang Ye,42,84.9,,95.0,67.0,,,,,,,,,,,,,,,,,,6,,14,13,87.0,90.0,79.5
UBCV,2021,W,PHYS,159,,L2K,Introductory Physics Laboratory for Engineers,Sarah Burke;Ziliang Ye,41,77.2,,94.0,33.0,,,,,,,,,,,,,,,,,6,,7,10,,81.0,86.0,74.0
UBCV,2021,W,PHYS,159,,LT2,Introductory Physics Laboratory for Engineers,Sarah Burke;Ziliang Ye,44,82.7,,96.0,0.0,,,,,,,,,,,,,,,,,,6,10,11,12,85.0,90.0,79.8
UBCV,2022,W,PHYS,159,,L2A,Introductory Physics Laboratory for Engineers,Sarah Burke;Ziliang Ye,26,76.3,,96.0,39.0,,,,,,,,,,,2,0,0,0,3,1,4,4,6,3,3,79.0,83.8,72.0
UBCV,2022,W,PHYS,159,,L2X,Introductory Physics Laboratory for Engineers,Sarah Burke;Ziliang Ye,39,73.6,,92.0,45.0,,,,,,,,,,,1,2,0,4,3,5,7,8,1,5,3,74.0,79.0,67.0
