Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2018,W,MATH,152,,208,LINEAR SYSTEMS,"Maleki Zamenjani, Amir",67,67.48,12.19,94,37,64,2,0,0,1,0,0,0,1,1,2,8,6,11,1,15,7,0,11,2,3
UBCV,2015,W,MECH,280,,201,Introduction to Fluid Mechanics,Amir Maleki Zamenjani;Emad Chaparian;Ian Frigaard,54,71.333333333,15.191854819,97.0,25.0,,,,,,,,,,,6,,,,6,6,5,8,6,,8
UBCV,2015,W,MECH,375,,101,Heat Transfer I,Alireza Jalali;Amir Maleki Zamenjani;Nima Atabaki,85,69.247058824,18.988659449,96.0,0.0,,,,,,,,,,,14,2,,9,6,,11,4,12,12,9
UBCV,2016,W,MATH,104,,104,Differential Calculus with Applications to Commerce and Social Sciences,Amir Maleki Zamenjani;Shawn Desaulniers,88,67.44318182,14.92113979,98.0,25.0,,,,,,,,,,,10,8,3,11,6,14,12,3,11,4,6
UBCV,2016,W,MECH,280,,201,Introduction to Fluid Mechanics,Amir Maleki Zamenjani;Emad Chaparian;Ian Frigaard,70,71.97142857,17.01999798,100.0,22.0,,,,,,,,,,,7,4,2,3,8,7,8,4,8,11,8
UBCV,2016,W,MECH,375,,101,Heat Transfer,Alireza Jalali;Amir Maleki Zamenjani;Nima Atabaki,90,69.42222222,17.24182124,100.0,23.0,,,,,,,,,,,10,4,4,13,9,9,7,3,12,7,12
UBCV,2016,W,MECH,375,,201,Heat Transfer,Alireza Jalali;Amir Maleki Zamenjani;Nima Atabaki,141,69.88652482,16.64078132,98.0,0.0,,,,,,,,,,,15,8,6,13,9,10,19,9,25,19,8
UBCV,2017,W,MECH,375,,101,Heat Transfer,Amir Maleki Zamenjani;Sara Hosseinirad;Seyedabdolrasoul Asaee,90,70.455555556,12.401668165,95.0,21.0,,,,,,,,,,,5,2,9,8,4,14,15,10,13,6,4
UBCV,2017,W,MECH,375,,201,Heat Transfer,Amir Maleki Zamenjani;Nima Atabaki;Roozbeh Yousefnejad,126,73.873015873,15.663452558,100.0,27.0,,,,,,,,,,,10,1,9,11,7,13,12,8,16,16,23
UBCV,2018,W,MATH,104,,106,Differential Calculus with Applications to Commerce and Social Sciences,Amir Maleki Zamenjani;Chunchen Ji;Hongjoo Ahn;Isis Ip;Jieliang Hong;Mark Thomson Maclean,104,69.134615385,15.908755416,96.0,13.0,,,,,,,,,,,11,4,7,9,8,13,18,8,12,5,9
UBCV,2018,W,MATH,152,,208,Linear Systems,Amir Maleki Zamenjani;Kalle Karu;Matthew Brassil;Yusuke Aoki,67,66.865671642,13.112445537,94.0,26.0,,,,,,,,,,,3,8,6,11,1,15,7,0,11,2,3
UBCV,2018,W,MECH,375,,101,Heat Transfer,Amir Maleki Zamenjani;Anis Umi Saadah Binti Othman;Hadyan Ramadhan;Nima Atabaki;Pegah Zarei,98,71.897959184,14.064277917,100.0,40.0,,,,,,,,,,,5,6,7,9,7,9,19,3,15,6,12
