Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2007,W,MINE,480,,201,MIN WAST MGMT,"Van Zyl, Dirk",55,76.09,11.85,98,23,53,2,0,0,0,0,0,1,0,1,2,1,1,1,0,6,11,11,12,6,4
UBC,2009,W,MINE,404,,201,MINE MGMT,"Van Zyl, Dirk",39,82.36,5.71,93,69,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,13,14,1
UBC,2009,W,MINE,491,,001,MIN PLANT FEAS,"Dunbar, W Scott;Van Zyl, Dirk",33,85.19,4.21,92,71,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,8,18,3
UBC,2009,W,MINE,574,,101,MIN ENVI CASE,"Van Zyl, Dirk",8,84.38,2.39,88,82,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0
UBC,2009,W,MINE,590,L,101,SPEC ADV TOP,"Van Zyl, Dirk",8,84.75,2.6,90,82,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1
UBC,2010,W,MINE,404,,201,MINE MGMT,"Van Zyl, Dirk",51,88,4.11,96,75,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,20,20
UBC,2010,W,MINE,480,,201,MIN WAST MGMT,"Van Zyl, Dirk",66,77.86,8.67,95,55,65,0,0,1,0,0,0,0,0,0,0,0,1,3,4,8,10,8,15,12,4
UBC,2010,W,MINE,488,,201,HVY OIL SND MINE,"Hall, Robert;Hitch, Michael;Pawlik, Marek;Van Zyl, Dirk",23,76.85,8.71,90,56,20,0,1,2,0,0,0,0,0,0,0,0,2,0,1,0,4,4,6,2,1
UBC,2010,W,MINE,557,,201,MIN PRO SYS,"Van Zyl, Dirk",15,79.54,11.08,98,60,13,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,2,1,3,1,3
UBC,2010,W,MINE,590,A,101,SPEC ADV TOP,"Van Zyl, Dirk",22,85.91,2.16,90,82,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,2
UBC,2010,W,MINE,590,W,101,SPEC ADV TOP,"Van Zyl, Dirk",16,87.5,5.59,94,78,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,6
UBC,2011,W,MINE,404,,201,MINE MGMT,"Van Zyl, Dirk",56,85.38,5.34,97,75,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,6,19,13,15
UBC,2011,W,MINE,480,,201,MIN WAST MGMT,"Van Zyl, Dirk",70,80.49,9.74,98,55,69,0,1,0,0,0,0,0,0,0,0,0,4,0,1,6,8,12,16,7,15
UBC,2011,W,MINE,574,,101,MIN ENVI CASE,"Van Zyl, Dirk",11,87.73,2.97,92,84,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4
UBC,2011,W,MINE,590,A,201,SPEC ADV TOP,"Van Zyl, Dirk",11,88,3.85,94,84,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3
UBC,2011,W,MINE,590,Q,201,SPEC ADV TOP,"Van Zyl, Dirk",10,88.2,5.83,98,80,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4
UBC,2012,W,MINE,404,,201,MINE MGMT,"Van Zyl, Dirk",77,86.28,5.14,96,73,76,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,13,33,20
UBC,2012,W,MINE,480,,201,MIN WAST MGMT,"Van Zyl, Dirk",90,83.55,7.78,97,51,89,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,6,7,30,21,21
UBC,2012,W,MINE,574,,101,MIN ENVI CASE,"Van Zyl, Dirk",14,87.14,2.51,92,84,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,2
UBC,2012,W,MINE,590,Q,201,SPEC ADV TOP,"Van Zyl, Dirk",11,90.18,3.03,95,84,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8
UBC,2013,W,APSC,150,,101,ENG CASE STUDIES,"Kwok, K Ezra;Poursartip, Anoshiravan;Smith, Kevin;Van Zyl, Dirk;Yonemitsu, Noboru",173,78.03,7.71,90,37,171,1,1,0,0,0,0,0,1,0,1,2,1,3,7,13,22,36,59,26,2
UBC,2013,W,APSC,150,,102,ENG CASE STUDIES,"Kwok, K Ezra;Poursartip, Anoshiravan;Smith, Kevin;Van Zyl, Dirk;Yonemitsu, Noboru",191,77.32,10.46,93,19,187,4,0,0,0,0,1,2,0,1,4,1,6,5,4,11,29,40,55,28,8
UBC,2013,W,APSC,150,,201,ENG CASE STUDIES,"Mohseni, Madjid;Poursartip, Anoshiravan;Smith, Kevin;Van Zyl, Dirk;Yonemitsu, Noboru",150,73.93,14.08,93,20,138,11,1,0,0,0,0,5,2,4,11,2,1,2,13,16,20,21,39,19,5
UBC,2013,W,APSC,150,,202,ENG CASE STUDIES,"Mohseni, Madjid;Poursartip, Anoshiravan;Smith, Kevin;Van Zyl, Dirk;Yonemitsu, Noboru",162,78.16,10.33,93,35,158,4,0,0,0,0,0,0,1,3,4,2,5,5,3,15,9,27,45,41,6
UBC,2013,W,MINE,404,,201,MINE MGMT,"Van Zyl, Dirk",105,84.63,7.15,97,56,105,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,6,15,17,28,34
UBC,2013,W,MINE,480,,201,MIN WAST MGMT,"Van Zyl, Dirk",88,80.43,10.21,98,43,85,2,1,0,0,0,0,0,0,2,2,0,1,2,2,5,10,15,18,18,14
UBC,2013,W,MINE,574,,101,MIN ENVI CASE,"Van Zyl, Dirk",23,86.74,1.25,90,86,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2
UBC,2013,W,MINE,590,A,101,SPEC ADV TOP,"Van Zyl, Dirk",10,89.1,2.18,92,87,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4
UBC,2013,W,MINE,590,Q,201,SPEC ADV TOP,"Van Zyl, Dirk",12,86,8.45,96,68,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,4
