Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2017,W,ELEC,344,,201,APPL EL & ELMECH,"Galiano Zurbriggen, Ignacio",83,80.09,9.63,95,55,81,0,1,0,1,0,0,0,0,0,0,0,1,3,5,8,7,7,16,19,15,,,
UBC,2018,W,ELEC,344,,101,APPL EL & ELMECH,"Galiano Zurbriggen, Ignacio",93,79.63,9.56,98,36,92,1,0,0,0,0,0,0,1,0,1,0,1,3,5,8,8,13,21,22,11,,,
UBC,2018,W,ELEC,344,,201,APPL EL & ELMECH,"Galiano Zurbriggen, Ignacio",70,77.34,11.59,95,44,67,1,2,0,0,0,0,0,0,1,1,0,5,2,8,6,5,8,11,13,9,,,
UBC,2018,W,ELEC,391,,201,EE DSGN STDIO II,"Galiano Zurbriggen, Ignacio;Grecu, Cristian Sorin",108,78.8,14.2,100,8,106,2,0,0,0,1,1,0,0,0,2,2,2,3,3,11,15,13,17,22,18,,,
UBCV,2015,W,ELEC,391,,201,Electrical Engineering Design Studio,Harmandeep Cheema;Ignacio Galiano Zurbriggen;Jagroop Sarai;Leo Stocco;Mahdi Yousefi;Parham Pashaei;Pegah Kharazmi,122,83.163934426,10.438612884,97.0,33.0,,,,,,,,,,,,,,,8,6,9,9,21,23,44,,,
UBCV,2015,W,ELEC,451,,101,Power Electronics,Francisco Paz;Ignacio Galiano Zurbriggen;Marco Bianchi;Martin Ordonez,58,75.0,12.284635961,99.0,43.0,,,,,,,,,,,,5,,,,7,6,11,9,9,5,,,
UBCV,2016,W,ELEC,391,,201,Electrical Engineering Design Studio II,Francisco Paz;Ignacio Galiano Zurbriggen;Jeanie Hakansson Malone;Jeanie Malone;Leo Stocco;Pegah Kharazmi;Prashant Mongia;Rashmi Prakash;Zuhair Naseem,110,82.1,12.62148307,98.0,0.0,,,,,,,,,,,1,0,3,1,6,3,5,19,17,21,34,,,
UBCV,2016,W,ELEC,451,,101,Power Electronics,Francisco Paz;Ignacio Galiano Zurbriggen;Marco Bianchi;Martin Ordonez,63,74.71428571,11.27290295,99.0,36.0,,,,,,,,,,,1,0,5,6,1,9,8,13,10,5,5,,,
UBCV,2017,W,ELEC,344,,201,Applied Electronics and Electromechanics,Franco Degioanni;Ignacio Galiano Zurbriggen;Jhih-Da Hsu;Tomas Syskakis,82,79.512195122,10.893699507,95.0,33.0,,,,,,,,,,,1,0,1,3,5,8,7,7,16,19,15,,,
UBCV,2018,W,ELEC,344,,101,Applied Electronics and Electromechanics,Gabriel Ferreira Da Silva;German Bogado;Ignacio Galiano Zurbriggen;Jhih-Da Hsu;Mohammad Ali Saket Tokaldani;Sayed Arshadi;Tomas Syskakis,93,79.634408602,9.55849832,98.0,36.0,,,,,,,,,,,1,0,1,3,5,8,8,13,21,22,11,,,
