Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2018,W,PSYC,277,,001,Behavioural and Neuroscientific Research Methods,Ipek Oruc;Mahmoud Khademi;Seyed Morteza Mousavi;Seyed Mousavi;Tian Rui Zhang;Todd Peter Kamensek,89,73.775280899,6.927797776,88.0,50.0,0,1,1,5,4,23,20,15,16,4,0
UBCV,2018,W,PSYC,361,,002,Neuroscience of Motivation,Jeremy Hosking;Tian Rui Zhang;Tristan Hynes,93,73.204301075,14.712874531,96.0,14.0,5,3,5,9,8,9,9,11,10,10,14
UBCV,2018,W,PSYC,366,,001,Methods in Research,Alex Jian Tong Yu;Alex Yu;Ipek Oruc;James Enns;Mahmoud Khademi;Seyed Morteza Mousavi;Seyed Mousavi;Sumeet Mutti;Tian Rui Zhang;Todd Peter Kamensek,42,80.214285714,6.719232369,91.0,58.0,0,0,1,0,2,1,4,6,18,7,3
UBCV,2019,W,PSYC,101,,V01,Introduction to Biological and Cognitive Psychology,Simon Lolliot;Tian Rui Zhang;Yu Luo,67,66.343283582,11.326493799,89.0,40.0,5,8,5,6,6,14,8,9,4,2,0
UBCV,2019,W,PSYC,102,,V01,"Introduction to Developmental, Social, Personality, and Clinical Psychology",Simon Lolliot;Tian Rui Zhang;Yu Luo,66,71.893939394,8.668473005,91.0,52.0,0,2,5,4,6,13,14,13,4,3,2
UBCV,2020,W,BIOL,121,,122,"Genetics, Evolution and Ecology",Bridgette Clarkston;Gregory Michael Bole;Tian Rui Zhang,220,78.709090909,11.326894858,95.0,19.0,5,3,0,9,14,21,23,26,43,41,35
UBCV,2020,W,PSYC,102,,008,"Introduction to Developmental, Social, Personality, and Clinical Psychology",Abigail Yuen;Tanya Schmader;Tian Rui Zhang;Xiaolei Deng,238,73.983193277,15.522126955,99.0,6.0,12,10,12,20,15,20,24,28,32,32,33
UBCV,2020,W,PSYC,102,,009,"Introduction to Developmental, Social, Personality, and Clinical Psychology",Abigail Yuen;Brandon Tomm;Sonia Jafari Milani;Tanya Schmader;Tian Rui Zhang;Xiaolei Deng,212,73.193396226,14.704203667,97.0,0.0,12,6,10,22,10,24,24,24,35,23,22
UBCV,2020,W,PSYC,208,,001,"Contemporary Topics in Social, Developmental, Personality, and Clinical Psychology",Andrea Perrino;Simon Lolliot;Tian Rui Zhang,120,74.3,15.07159385,94.0,0.0,5,3,2,8,10,8,16,19,23,17,9
UBCV,2021,S,PSYC,311,,921,Psychology of Sport,Chantelle Cocquyt;Jeffrey Sauve;Tian Rui Zhang,131,76.93129771,9.978585409,95.0,18.0,2,1,3,1,3,15,24,29,25,23,5
UBCV,2021,W,PSYC,102,,001,"Introduction to Developmental, Social, Personality, and Clinical Psychology",Elisha Klonsky;Simon Lolliot;Tian Rui Zhang;Xiaolei Deng;Xuyan Tang,340,71.141176471,12.962758493,95.0,18.0,18,9,30,34,32,36,47,43,38,32,21
UBCV,2021,W,PSYC,307,,102,Cultural Psychology,Benjamin Cheung;Giulio Laino;Giulio Laino Chiavegatti;Tian Rui Zhang;Valerie Lo,171,75.198830409,14.660318544,100.0,20.0,7,7,6,10,12,27,17,9,21,22,33
UBCV,2021,W,PSYC,311,,001,Psychology of Sport,Emma Reiter;Jeffrey Sauve;Tian Rui Zhang,156,76.5,9.419608923,92.0,22.0,2,1,4,1,7,17,23,40,38,20,3
UBCV,2021,W,PSYC,311,,902,Psychology of Sport,Aaron Reiss;Andrea Perrino;Jeffrey Sauve;Tian Rui Zhang,170,76.223529412,15.877397481,96.0,10.0,16,1,2,5,7,10,11,20,45,35,18
